year,Corn,Wheat,Soybean,SG
0,0,0,0,0
1,213,77,0,92
2,251,70,0,93
3,206,65,0,97
4,144,68,0,90
5,168,67,0,93
6,205,71,0,91
7,207,79,0,96
8,233,75,0,95
9,233,69,0,96
10,223,74,0,97
11,213,77,0,92
12,251,70,0,93
13,206,65,0,97
14,144,68,0,90
15,168,67,0,93
16,205,71,0,91
17,207,79,0,96
18,233,75,0,95
19,233,69,0,96
20,223,74,0,97
21,213,77,0,92
22,251,70,0,93
23,206,65,0,97
24,144,68,0,90
25,168,67,0,93
26,205,71,0,91
27,207,79,0,96
28,233,75,0,95
29,233,69,0,96
30,223,74,0,97
31,213,77,0,92
32,251,70,0,93
33,206,65,0,97
34,144,68,0,90
35,168,67,0,93
36,205,71,0,91
37,207,79,0,96
38,233,75,0,95
39,233,69,0,96
40,223,74,0,97
41,213,77,0,92
42,251,70,0,93
43,206,65,0,97
44,144,68,0,90
45,168,67,0,93
46,32,4,0,21
47,123,8,0,22
48,132,53,0,15
49,140,40,0,11
50,127,11,0,13
51,41,63,0,7
52,125,31,0,14
53,45,10,0,4
54,14,25,0,4
55,23,8,0,3
56,32,4,0,21
57,123,8,0,22
58,132,53,0,15
59,140,40,0,11
60,127,11,0,13
61,41,63,0,7
62,125,31,0,14
63,45,10,0,4
64,14,25,0,4
65,23,8,0,3
66,32,4,0,21
67,123,8,0,22
68,132,53,0,15
69,140,40,0,11
70,127,11,0,13
71,41,63,0,7
72,125,31,0,14
73,206,65,0,97
74,144,68,0,90
75,168,67,0,93
76,205,71,0,91
77,207,79,0,96
78,233,75,0,95
79,233,69,0,96
80,223,74,0,97
81,41,63,0,7
82,125,31,0,14
83,45,10,0,4
84,14,25,0,4
85,23,8,0,3
86,32,4,0,21
87,123,8,0,22
88,132,53,0,15
89,140,40,0,11
